stg;vert;pversion;pnr;pdtxt;ppruefer;Prüfer 1;zweitpruefer;Prüfer 2;pdauer;pform;psem;angeboten
WI;;112;2030;Betriebl. Rechnungswesen;4136;;;;90;KL;20201;J
WI;;112;2050;Programmieren 2;4123;;;;120;KL;20201;J
WI;;112;3010;Operations Research;3213;;;;90;KL;20201;J
WI;;112;3030;Kosten-/Leistungsrechnung;0694;;;;120;KL;20201;J
WI;;112;3040;Datenbanksysteme;0312;;;;60;KL;20201;J
WI;;112;3050;IT-Sicherheit;3251;;;;90;KL;20201;J
WI;;112;4010;Statistik;3213;;;;90;KL;20201;J
WI;;112;4020;Grundlagen der  Logistik;15452;;;;90;KL;20201;J
WI;;112;4030;Software Eng.Modellierung;0388;;;;120;KL;20201;J
WI;;112;4060;Unternehmens-Softw. 2;1426;;;;60;KL;20201;J
WI;;112;7010;Betriebspsychologie;3512;;;;60;KL;20201;J
WI;;112;7030;Recht;2413;;;;60;KL;20201;J
WI;;112;17140;Investition und Finanzi.;1678;;;;90;KL;20201;J
WI;;112;17200;Datenstrukt./Algorithmen;4406;;;;120;KL;20201;J
WI;;112;17210;Verteilte Systeme;15950;;;;120;KL;20201;J
WI;;112;17300;eCommerce;1426;;;;90;KL;20201;J
WP;;132;9001;Diagnostik;2871;;4715;;60;KL;20201;J
WP;;172;8004;Rechn. u. Finanzman. I;14333;;1039;;150;KL;20201;J
WP;;172;8005;Lean Management;1304;;2151;;120;KL;20201;J
WP;;172;8007;Grundlagen Recht;8911;;7777;;150;KL;20201;J
WP;;172;9001;Diagnostik;2871;;4715;;60;KL;20201;J
WPM;;162;1020;Forschungsmethoden I;7365;;15445;;90;KL;20201;J
WPM;;162;1040;Marketing & Konsumentenp.;8911;;;;90;KL;20201;J
WPM;;162;1050;Psychologische Asp.Org.I;3123;;2394;;60;KL;20201;J
