mtknr;stg;pversion;pnr;pform;dtxt;psem
169104;AB;161;2030;KL;Klausur;20192
169115;AB;161;2030;KL;Klausur;20192
169126;AB;161;2030;KL;Klausur;20192
169137;AB;161;2030;KL;Klausur;20192
169148;AB;161;2030;KL;Klausur;20192
169160;AB;161;2030;KL;Klausur;20192
169171;AB;161;2030;KL;Klausur;20192
169182;AB;161;2030;KL;Klausur;20192
169206;AB;161;2030;KL;Klausur;20192
169217;AB;161;2030;KL;Klausur;20192
1000003;AB;161;2030;KL;Klausur;20192
1000006;AB;161;2030;KL;Klausur;20192
166978;AB;161;3020;KL;Klausur;20192
166989;AB;161;3020;KL;Klausur;20192
167006;AB;161;3020;KL;Klausur;20192
167186;AB;161;3020;KL;Klausur;20192
167244;AB;161;3020;KL;Klausur;20192
167299;AB;161;3020;KL;Klausur;20192
167404;AB;161;3020;KL;Klausur;20192
167415;AB;161;3020;KL;Klausur;20192
167426;AB;161;3020;KL;Klausur;20192
167459;AB;161;3020;KL;Klausur;20192
167493;AB;161;3020;KL;Klausur;20192
167584;AB;161;3020;KL;Klausur;20192
167595;AB;161;3020;KL;Klausur;20192
167608;AB;161;3020;KL;Klausur;20192
167619;AB;161;3020;KL;Klausur;20192
167620;AB;161;3020;KL;Klausur;20192
167631;AB;161;3020;KL;Klausur;20192
167642;AB;161;3020;KL;Klausur;20192
167653;AB;161;3020;KL;Klausur;20192
167700;AB;161;3020;KL;Klausur;20192
167711;AB;161;3020;KL;Klausur;20192
167733;AB;161;3020;KL;Klausur;20192
167744;AB;161;3020;KL;Klausur;20192
167755;AB;161;3020;KL;Klausur;20192
167777;AB;161;3020;KL;Klausur;20192
167788;AB;161;3020;KL;Klausur;20192
167799;AB;161;3020;KL;Klausur;20192
167802;AB;161;3020;KL;Klausur;20192
167813;AB;161;3020;KL;Klausur;20192
167835;AB;161;3020;KL;Klausur;20192
167846;AB;161;3020;KL;Klausur;20192
167857;AB;161;3020;KL;Klausur;20192
167879;AB;161;3020;KL;Klausur;20192
167880;AB;161;3020;KL;Klausur;20192
167891;AB;161;3020;KL;Klausur;20192
167904;AB;161;3020;KL;Klausur;20192
167915;AB;161;3020;KL;Klausur;20192
167926;AB;161;3020;KL;Klausur;20192
167948;AB;161;3020;KL;Klausur;20192
167960;AB;161;3020;KL;Klausur;20192
167971;AB;161;3020;KL;Klausur;20192
168009;AB;161;3020;KL;Klausur;20192
168021;AB;161;3020;KL;Klausur;20192
168076;AB;161;3020;KL;Klausur;20192
168098;AB;161;3020;KL;Klausur;20192
168101;AB;161;3020;KL;Klausur;20192
168112;AB;161;3020;KL;Klausur;20192
168125;AB;161;3020;KL;Klausur;20192
168134;AB;161;3020;KL;Klausur;20192
168145;AB;161;3020;KL;Klausur;20192
168225;AB;161;3020;KL;Klausur;20192
168236;AB;161;3020;KL;Klausur;20192
168258;AB;161;3020;KL;Klausur;20192
168269;AB;161;3020;KL;Klausur;20192
168305;AB;161;3020;KL;Klausur;20192
168316;AB;161;3020;KL;Klausur;20192
168349;AB;161;3020;KL;Klausur;20192
1000003;AB;161;3020;KL;Klausur;20192
165339;AB;161;3030;KL;Klausur;20192
165668;AB;161;3030;KL;Klausur;20192
165986;AB;161;3030;KL;Klausur;20192
166978;AB;161;3030;KL;Klausur;20192
166989;AB;161;3030;KL;Klausur;20192
167006;AB;161;3030;KL;Klausur;20192
167186;AB;161;3030;KL;Klausur;20192
167244;AB;161;3030;KL;Klausur;20192
167346;AB;161;3030;KL;Klausur;20192
167404;AB;161;3030;KL;Klausur;20192
167415;AB;161;3030;KL;Klausur;20192
167426;AB;161;3030;KL;Klausur;20192
167459;AB;161;3030;KL;Klausur;20192
167471;AB;161;3030;KL;Klausur;20192
167493;AB;161;3030;KL;Klausur;20192
167584;AB;161;3030;KL;Klausur;20192
167595;AB;161;3030;KL;Klausur;20192
167608;AB;161;3030;KL;Klausur;20192
167619;AB;161;3030;KL;Klausur;20192
167631;AB;161;3030;KL;Klausur;20192
167642;AB;161;3030;KL;Klausur;20192
167653;AB;161;3030;KL;Klausur;20192
167700;AB;161;3030;KL;Klausur;20192
167711;AB;161;3030;KL;Klausur;20192
167733;AB;161;3030;KL;Klausur;20192
167744;AB;161;3030;KL;Klausur;20192
167755;AB;161;3030;KL;Klausur;20192
167766;AB;161;3030;KL;Klausur;20192
167777;AB;161;3030;KL;Klausur;20192
167788;AB;161;3030;KL;Klausur;20192
167799;AB;161;3030;KL;Klausur;20192
167802;AB;161;3030;KL;Klausur;20192
167835;AB;161;3030;KL;Klausur;20192
167846;AB;161;3030;KL;Klausur;20192
167857;AB;161;3030;KL;Klausur;20192
167879;AB;161;3030;KL;Klausur;20192
167880;AB;161;3030;KL;Klausur;20192
167891;AB;161;3030;KL;Klausur;20192
167915;AB;161;3030;KL;Klausur;20192
167926;AB;161;3030;KL;Klausur;20192
167948;AB;161;3030;KL;Klausur;20192
167960;AB;161;3030;KL;Klausur;20192
167971;AB;161;3030;KL;Klausur;20192
167982;AB;161;3030;KL;Klausur;20192
168009;AB;161;3030;KL;Klausur;20192
168021;AB;161;3030;KL;Klausur;20192
168076;AB;161;3030;KL;Klausur;20192
168098;AB;161;3030;KL;Klausur;20192
168101;AB;161;3030;KL;Klausur;20192
168112;AB;161;3030;KL;Klausur;20192
168125;AB;161;3030;KL;Klausur;20192
168134;AB;161;3030;KL;Klausur;20192
168145;AB;161;3030;KL;Klausur;20192
168225;AB;161;3030;KL;Klausur;20192
168236;AB;161;3030;KL;Klausur;20192
168258;AB;161;3030;KL;Klausur;20192
168269;AB;161;3030;KL;Klausur;20192
168305;AB;161;3030;KL;Klausur;20192
168316;AB;161;3030;KL;Klausur;20192
168349;AB;161;3030;KL;Klausur;20192
163311;AB;141;3040;KL;Klausur;20192
159906;AB;141;4030;KL;Klausur;20192
163946;AB;161;4030;KL;Klausur;20192
164052;AB;161;4030;KL;Klausur;20192
164461;AB;161;4030;KL;Klausur;20192
164574;AB;161;4030;KL;Klausur;20192
165157;AB;161;4030;KL;Klausur;20192
166014;AB;161;4030;KL;Klausur;20192
166047;AB;161;4030;KL;Klausur;20192
166105;AB;161;4030;KL;Klausur;20192
166127;AB;161;4030;KL;Klausur;20192
166183;AB;161;4030;KL;Klausur;20192
166218;AB;161;4030;KL;Klausur;20192
166263;AB;161;4030;KL;Klausur;20192
166398;AB;161;4030;KL;Klausur;20192
166401;AB;161;4030;KL;Klausur;20192
166570;AB;161;4030;KL;Klausur;20192
166672;AB;161;4030;KL;Klausur;20192
166763;AB;161;4030;KL;Klausur;20192
166810;AB;161;4030;KL;Klausur;20192
166832;AB;161;4030;KL;Klausur;20192
166843;AB;161;4030;KL;Klausur;20192
166887;AB;161;4030;KL;Klausur;20192
166923;AB;161;4030;KL;Klausur;20192
166934;AB;161;4030;KL;Klausur;20192
166945;AB;161;4030;KL;Klausur;20192
166956;AB;161;4030;KL;Klausur;20192
166967;AB;161;4030;KL;Klausur;20192
